Date,Team,Acquired,Relinquised,Notes
2011-01-22,Raptors,,Leandro Barbosa,strained right hamstring (DNP)
2011-01-22,Raptors,,Linas Kleiza,sore right knee (DNP)
2011-01-22,Spurs,,George Hill,sprained right thumb (DNP)
2011-01-24,Bucks,,John Salmons,strained right hip (DNP)
2011-01-24,Cavaliers,,Anthony Parker,strained lower back (DNP)
2011-01-24,Raptors,,Joey Dorsey,strained right patella tendon (DNP)
2011-01-24,Raptors,,Jose Calderon,flu-like symptoms / ankle injury (CBC) (DNP)
2011-01-24,Raptors,,Linas Kleiza,sore right knee (DNP)
2011-01-25,Celtics,,Shaquille O'Neal,sore right leg (DNP)
2011-01-25,Clippers,,Eric Gordon,sprained right wrist (DNP)
2011-01-26,Bucks,,John Salmons,strained right hip (DNP)
2011-01-26,Clippers,,Eric Gordon,sprained right wrist (DNP)
2011-01-26,Nuggets,,Kenyon Martin,left knee injury (DNP)
2011-01-27,Celtics,,Shaquille O'Neal,sore right hip (DNP)
2011-01-28,Bucks,,John Salmons,strained right hip (DNP)
2011-01-28,Heat,,Dwyane Wade,sprained right wrist (DNP)
2011-01-28,Jazz,,Deron Williams,strained tendon in right wrist (DNP)
2011-01-28,Jazz,,Mehmet Okur,strained lower back (DTD)
2011-01-28,Nets,,Jordan Farmar,strained lower back (DNP)
2011-01-28,Pistons,,Rodney Stuckey,bruised right shoulder (DNP)
2011-01-28,Wizards,,Kirk Hinrich,sprained right ankle (DNP)
2011-01-29,Bucks,,John Salmons,strained right hip (DNP)
2011-01-29,Nets,,Jordan Farmar,strained lower back (DNP)
2011-01-29,Wizards,,Mustafa Shakur,right leg injury (DTD)
2011-01-30,Jazz,,Deron Williams,strained tendon in right wrist (DNP)
2011-01-30,Knicks,,Wilson Chandler,sore left calf (DNP)
2011-01-30,Magic,,Gilbert Arenas,bruised left knee (P) / sore right knee (CBC) (DNP)
2011-01-30,Pistons,,Rodney Stuckey,bruised right shoulder (DNP)
2011-01-30,Suns,,Gani Lawal,surgery on right knee to repair torn ACL and partially torn MCL (out for season)
2011-01-31,Cavaliers,,Daniel Gibson,bruised left quadriceps (DNP)
2011-01-31,Clippers,,Eric Gordon,sprained right wrist (DNP)
2011-01-31,Jazz,,Deron Williams,strained tendon in right wrist (DNP)
2011-01-31,Magic,,J.J. Redick,sore left shoulder (DTD)
2011-01-31,Nets,,Jordan Farmar,strained lower back (DNP)
2011-02-01,Kings,,Jason Thompson,sprained right ankle (DNP)
2011-02-01,Lakers,,Andrew Bynum,bone bruised in left knee (DNP)
2011-02-02,Bucks,,Keyon Dooling,flu (DNP)
2011-02-02,Bucks,,Larry Sanders,illness (DNP)
2011-02-02,Cavaliers,,Daniel Gibson,bruised left quadriceps (DNP)
2011-02-02,Clippers,,Eric Gordon,sprained right wrist (DNP)
2011-02-02,Jazz,,Andrei Kirilenko,sprained left ankle (DNP)
2011-02-02,Jazz,,Deron Williams,strained tendon in right wrist (DNP)
2011-02-02,Pistons,,Jason Maxiell,sore back (DNP)
2011-02-02,Rockets,,Jordan Hill,sprained ankle (DNP)
2011-02-03,Bucks,,Chris Douglas-Roberts,DNP
2011-02-03,Magic,,Brandon Bass,sprained left ankle (DNP)
